IATA_CODE,DOT_Code,Cities,State,DOT_Airport_Name,IATA_Airport_Name
SBA,14689,Santa Barbara,CA,Santa Barbara Municipal,Santa Barbara Municipal Airport (Santa Barbara Airport)
SBN,14696,South Bend,IN,South Bend International,South Bend International Airport (South Bend Regional)
SBP,14698,San Luis Obispo,CA,San Luis Obispo County Regional,San Luis Obispo County Regional Airport (McChesney Field)
SCC,14709,Deadhorse,AK,Deadhorse Airport,Deadhorse Airport (Prudhoe Bay Airport)
SCE,14711,State College,PA,State College Regional,University Park Airport
SDF,14730,Louisville,KY,Louisville Muhammad Ali International,Louisville International Airport (Standiford Field)
SEA,14747,Seattle,WA,Seattle/Tacoma International,Seattle-Tacoma International Airport
SFO,14771,San Francisco,CA,San Francisco International,San Francisco International Airport
SGF,14783,Springfield,MO,Springfield-Branson National,Springfield-Branson National Airport
SGU,14794,St. George,UT,St George Regional,St. George Regional Airport
SHV,14814,Shreveport,LA,Shreveport Regional,Shreveport Regional Airport
SIT,14828,Sitka,AK,Sitka Rocky Gutierrez,Sitka Rocky Gutierrez Airport
SJC,14831,San Jose,CA,Norman Y. Mineta San Jose International,Norman Y. Mineta San José International Airport
SJT,14842,San Angelo,TX,San Angelo Regional/Mathis Field,San Angelo Regional Airport (Mathis Field)
SJU,14843,San Juan,PR,Luis Munoz Marin International,Luis Muñoz Marín International Airport
SLC,14869,Salt Lake City,UT,Salt Lake City International,Salt Lake City International Airport
SMF,14893,Sacramento,CA,Sacramento International,Sacramento International Airport
SMX,14905,Santa Maria,CA,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria Public Airport (Capt G. Allan Hancock Field)
SNA,14908,Santa Ana,CA,John Wayne Airport-Orange County,John Wayne Airport (Orange County Airport)
SPI,14952,Springfield,IL,Abraham Lincoln Capital,Abraham Lincoln Capital Airport
SPS,14960,Wichita Falls,TX,Sheppard AFB/Wichita Falls Municipal,Wichita Falls Municipal Airport/Sheppard AFB
SRQ,14986,Sarasota/Bradenton,FL,Sarasota/Bradenton International,Sarasota-Bradenton International Airport
STL,15016,St. Louis,MO,St Louis Lambert International,St. Louis International Airport at Lambert Field
STT,15024,Charlotte Amalie,VI,Cyril E King,Cyril E. King Airport
STX,15027,Christiansted,VI,Henry E. Rohlsen,Henry E. Rohlsen Airport
SUN,15041,Sun Valley/Hailey/Ketchum,ID,Friedman Memorial,Friedman Memorial Airport
SUX,15048,Sioux City,IA,Sioux Gateway Brig Gen Bud Day Field,Sioux Gateway Airport
SWF,15070,Newburgh/Poughkeepsie,NY,New York Stewart International,Stewart International Airport
SYR,15096,Syracuse,NY,Syracuse Hancock International,Syracuse Hancock International Airport
TLH,15249,Tallahassee,FL,Tallahassee International,Tallahassee International Airport
TOL,15295,Toledo,OH,Eugene F Kranz Toledo Express,Toledo Express Airport
TPA,15304,Tampa,FL,Tampa International,Tampa International Airport
TRI,15323,Bristol/Johnson City/Kingsport,TN,Tri Cities,Tri-Cities Regional Airport
TTN,15356,Trenton,NJ,Trenton Mercer,Trenton Mercer Airport
TUL,15370,Tulsa,OK,Tulsa International,Tulsa International Airport
TUS,15376,Tucson,AZ,Tucson International,Tucson International Airport
TVC,15380,Traverse City,MI,Cherry Capital,Cherry Capital Airport
TWF,15389,Twin Falls,ID,Joslin Field - Magic Valley Regional,Magic Valley Regional Airport (Joslin Field)
TXK,15401,Texarkana,AR,Texarkana Regional-Webb Field,Texarkana Regional Airport (Webb Field)
TYR,15411,Tyler,TX,Tyler Pounds Regional,Tyler Pounds Regional Airport
TYS,15412,Knoxville,TN,McGhee Tyson,McGhee Tyson Airport
UST,15497,St. Augustine,FL,Northeast Florida Regional,Northeast Florida Regional Airport (St. Augustine Airport)
VLD,15607,Valdosta,GA,Valdosta Regional,Valdosta Regional Airport
VPS,15624,Valparaiso,FL,Eglin AFB Destin Fort Walton Beach,Destin-Fort Walton Beach Airport/Eglin AFB
WRG,15841,Wrangell,AK,Wrangell Airport,Wrangell Airport
XNA,15919,Fayetteville,AR,Northwest Arkansas National,Northwest Arkansas Regional Airport
YAK,15991,Yakutat,AK,Yakutat Airport,Yakutat Airport
YUM,16218,Yuma,AZ,Yuma MCAS/Yuma International,Yuma International Airport
